	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.25    	 yi(1/2) = 2.05923    	 yi - yi(1/2) = -0.00850182    	 LEE = 0.00971636    	 c1 = 1    	 c2 = 0
	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.125    	 yi(1/2) = 1.3642    	 yi - yi(1/2) = -0.000476033    	 LEE = 0.000544038    	 c1 = 2    	 c2 = 0
	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.0625    	 yi(1/2) = 1.15085    	 yi - yi(1/2) = -2.81795e-05    	 LEE = 3.22051e-05    	 c1 = 3    	 c2 = 0
	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.03125    	 yi(1/2) = 1.06865    	 yi - yi(1/2) = -1.71435e-06    	 LEE = 1.95925e-06    	 c1 = 4    	 c2 = 0
	 i = -1    	 yi = 1    	 xi = 0    	 h = 0.015625    	 yi(1/2) = 1.03275    	 yi - yi(1/2) = -1.05716e-07    	 LEE = 1.20818e-07    	 c1 = 5    	 c2 = 0
	 i = 0    	 yi = 1.016    	 xi = 0.015625    	 h = 0.015625    	 yi(1/2) = 1.016    	 yi - yi(1/2) = -6.56309e-09    	 LEE = 7.50067e-09    	 c1 = 5    	 c2 = 0
	 i = 1    	 yi = 1.03275    	 xi = 0.03125    	 h = 0.015625    	 yi(1/2) = 1.03275    	 yi - yi(1/2) = -6.80547e-09    	 LEE = 7.77768e-09    	 c1 = 5    	 c2 = 0
	 i = 2    	 yi = 1.05029    	 xi = 0.046875    	 h = 0.015625    	 yi(1/2) = 1.05029    	 yi - yi(1/2) = -7.05495e-09    	 LEE = 8.0628e-09    	 c1 = 5    	 c2 = 0
	 i = 3    	 yi = 1.06865    	 xi = 0.0625    	 h = 0.015625    	 yi(1/2) = 1.06865    	 yi - yi(1/2) = -7.31172e-09    	 LEE = 8.35625e-09    	 c1 = 5    	 c2 = 0
	 i = 4    	 yi = 1.08786    	 xi = 0.078125    	 h = 0.015625    	 yi(1/2) = 1.08786    	 yi - yi(1/2) = -7.57596e-09    	 LEE = 8.65824e-09    	 c1 = 5    	 c2 = 0
	 i = 5    	 yi = 1.10794    	 xi = 0.09375    	 h = 0.015625    	 yi(1/2) = 1.10794    	 yi - yi(1/2) = -7.84786e-09    	 LEE = 8.96898e-09    	 c1 = 5    	 c2 = 0
	 i = 6    	 yi = 1.12893    	 xi = 0.109375    	 h = 0.015625    	 yi(1/2) = 1.12893    	 yi - yi(1/2) = -8.12761e-09    	 LEE = 9.28869e-09    	 c1 = 5    	 c2 = 0
	 i = 7    	 yi = 1.15085    	 xi = 0.125    	 h = 0.015625    	 yi(1/2) = 1.15085    	 yi - yi(1/2) = -8.41541e-09    	 LEE = 9.61761e-09    	 c1 = 5    	 c2 = 0
	 i = 8    	 yi = 1.17375    	 xi = 0.140625    	 h = 0.015625    	 yi(1/2) = 1.17375    	 yi - yi(1/2) = -8.71146e-09    	 LEE = 9.95596e-09    	 c1 = 5    	 c2 = 0
	 i = 9    	 yi = 1.19766    	 xi = 0.15625    	 h = 0.015625    	 yi(1/2) = 1.19766    	 yi - yi(1/2) = -9.01598e-09    	 LEE = 1.0304e-08    	 c1 = 5    	 c2 = 0
	 i = 10    	 yi = 1.22261    	 xi = 0.171875    	 h = 0.015625    	 yi(1/2) = 1.22261    	 yi - yi(1/2) = -9.32917e-09    	 LEE = 1.06619e-08    	 c1 = 5    	 c2 = 0
