	 i = 0    	 yi = 1.03275    	 xi = 0.03125    	 h = 0.03125    	 yi(1/2) = 1.03275    	 yi - yi(1/2) = 6.2893e-10    	 LEE = 6.70859e-10    	 c1 = 4    	 c2 = 0
	 i = 1    	 yi = 1.06865    	 xi = 0.0625    	 h = 0.03125    	 yi(1/2) = 1.06865    	 yi - yi(1/2) = 6.77487e-10    	 LEE = 7.22653e-10    	 c1 = 4    	 c2 = 0
	 i = 2    	 yi = 1.10794    	 xi = 0.09375    	 h = 0.03125    	 yi(1/2) = 1.10794    	 yi - yi(1/2) = 7.2898e-10    	 LEE = 7.77578e-10    	 c1 = 4    	 c2 = 0
	 i = 3    	 yi = 1.15085    	 xi = 0.125    	 h = 0.03125    	 yi(1/2) = 1.15085    	 yi - yi(1/2) = 7.83561e-10    	 LEE = 8.35798e-10    	 c1 = 4    	 c2 = 0
	 i = 4    	 yi = 1.19766    	 xi = 0.15625    	 h = 0.03125    	 yi(1/2) = 1.19766    	 yi - yi(1/2) = 8.41389e-10    	 LEE = 8.97482e-10    	 c1 = 4    	 c2 = 0
	 i = 5    	 yi = 1.24864    	 xi = 0.1875    	 h = 0.03125    	 yi(1/2) = 1.24864    	 yi - yi(1/2) = 9.02634e-10    	 LEE = 9.62809e-10    	 c1 = 4    	 c2 = 0
	 i = 6    	 yi = 1.30407    	 xi = 0.21875    	 h = 0.03125    	 yi(1/2) = 1.30407    	 yi - yi(1/2) = 9.67469e-10    	 LEE = 1.03197e-09    	 c1 = 4    	 c2 = 0
	 i = 7    	 yi = 1.36428    	 xi = 0.25    	 h = 0.03125    	 yi(1/2) = 1.36428    	 yi - yi(1/2) = 1.03608e-09    	 LEE = 1.10515e-09    	 c1 = 4    	 c2 = 0
	 i = 8    	 yi = 1.42958    	 xi = 0.28125    	 h = 0.03125    	 yi(1/2) = 1.42958    	 yi - yi(1/2) = 1.10866e-09    	 LEE = 1.18257e-09    	 c1 = 4    	 c2 = 0
	 i = 9    	 yi = 1.50032    	 xi = 0.3125    	 h = 0.03125    	 yi(1/2) = 1.50032    	 yi - yi(1/2) = 1.18541e-09    	 LEE = 1.26443e-09    	 c1 = 4    	 c2 = 0
	 i = 10    	 yi = 1.57686    	 xi = 0.34375    	 h = 0.03125    	 yi(1/2) = 1.57686    	 yi - yi(1/2) = 1.26653e-09    	 LEE = 1.35097e-09    	 c1 = 4    	 c2 = 0
	 i = 11    	 yi = 1.6596    	 xi = 0.375    	 h = 0.03125    	 yi(1/2) = 1.6596    	 yi - yi(1/2) = 1.35226e-09    	 LEE = 1.44241e-09    	 c1 = 4    	 c2 = 0
	 i = 12    	 yi = 1.74893    	 xi = 0.40625    	 h = 0.03125    	 yi(1/2) = 1.74893    	 yi - yi(1/2) = 1.44282e-09    	 LEE = 1.539e-09    	 c1 = 4    	 c2 = 0
	 i = 13    	 yi = 1.84529    	 xi = 0.4375    	 h = 0.03125    	 yi(1/2) = 1.84529    	 yi - yi(1/2) = 1.53845e-09    	 LEE = 1.64101e-09    	 c1 = 4    	 c2 = 0
	 i = 14    	 yi = 1.94912    	 xi = 0.46875    	 h = 0.03125    	 yi(1/2) = 1.94912    	 yi - yi(1/2) = 1.6394e-09    	 LEE = 1.74869e-09    	 c1 = 4    	 c2 = 0
	 i = 15    	 yi = 2.0609    	 xi = 0.5    	 h = 0.03125    	 yi(1/2) = 2.0609    	 yi - yi(1/2) = 1.74594e-09    	 LEE = 1.86234e-09    	 c1 = 4    	 c2 = 0
	 i = 16    	 yi = 2.18114    	 xi = 0.53125    	 h = 0.03125    	 yi(1/2) = 2.18114    	 yi - yi(1/2) = 1.85835e-09    	 LEE = 1.98224e-09    	 c1 = 4    	 c2 = 0
	 i = 17    	 yi = 2.31036    	 xi = 0.5625    	 h = 0.03125    	 yi(1/2) = 2.31036    	 yi - yi(1/2) = 1.97692e-09    	 LEE = 2.10871e-09    	 c1 = 4    	 c2 = 0
	 i = 18    	 yi = 2.44913    	 xi = 0.59375    	 h = 0.03125    	 yi(1/2) = 2.44913    	 yi - yi(1/2) = 2.10194e-09    	 LEE = 2.24206e-09    	 c1 = 4    	 c2 = 0
	 i = 19    	 yi = 2.59803    	 xi = 0.625    	 h = 0.03125    	 yi(1/2) = 2.59803    	 yi - yi(1/2) = 2.23373e-09    	 LEE = 2.38264e-09    	 c1 = 4    	 c2 = 0
	 i = 20    	 yi = 2.75768    	 xi = 0.65625    	 h = 0.03125    	 yi(1/2) = 2.75768    	 yi - yi(1/2) = 2.37262e-09    	 LEE = 2.5308e-09    	 c1 = 4    	 c2 = 0
	 i = 21    	 yi = 2.92873    	 xi = 0.6875    	 h = 0.03125    	 yi(1/2) = 2.92873    	 yi - yi(1/2) = 2.51896e-09    	 LEE = 2.68689e-09    	 c1 = 4    	 c2 = 0
	 i = 22    	 yi = 3.11186    	 xi = 0.71875    	 h = 0.03125    	 yi(1/2) = 3.11186    	 yi - yi(1/2) = 2.67311e-09    	 LEE = 2.85132e-09    	 c1 = 4    	 c2 = 0
	 i = 23    	 yi = 3.30781    	 xi = 0.75    	 h = 0.03125    	 yi(1/2) = 3.30781    	 yi - yi(1/2) = 2.83544e-09    	 LEE = 3.02447e-09    	 c1 = 4    	 c2 = 0
	 i = 24    	 yi = 3.51733    	 xi = 0.78125    	 h = 0.03125    	 yi(1/2) = 3.51733    	 yi - yi(1/2) = 3.00636e-09    	 LEE = 3.20678e-09    	 c1 = 4    	 c2 = 0
	 i = 25    	 yi = 3.74122    	 xi = 0.8125    	 h = 0.03125    	 yi(1/2) = 3.74122    	 yi - yi(1/2) = 3.18626e-09    	 LEE = 3.39868e-09    	 c1 = 4    	 c2 = 0
	 i = 26    	 yi = 3.98032    	 xi = 0.84375    	 h = 0.03125    	 yi(1/2) = 3.98032    	 yi - yi(1/2) = 3.37559e-09    	 LEE = 3.60063e-09    	 c1 = 4    	 c2 = 0
	 i = 27    	 yi = 4.23551    	 xi = 0.875    	 h = 0.03125    	 yi(1/2) = 4.23551    	 yi - yi(1/2) = 3.57479e-09    	 LEE = 3.81311e-09    	 c1 = 4    	 c2 = 0
	 i = 28    	 yi = 4.50773    	 xi = 0.90625    	 h = 0.03125    	 yi(1/2) = 4.50773    	 yi - yi(1/2) = 3.78433e-09    	 LEE = 4.03662e-09    	 c1 = 4    	 c2 = 0
	 i = 29    	 yi = 4.79796    	 xi = 0.9375    	 h = 0.03125    	 yi(1/2) = 4.79796    	 yi - yi(1/2) = 4.0047e-09    	 LEE = 4.27168e-09    	 c1 = 4    	 c2 = 0
	 i = 30    	 yi = 5.10721    	 xi = 0.96875    	 h = 0.03125    	 yi(1/2) = 5.10721    	 yi - yi(1/2) = 4.23641e-09    	 LEE = 4.51884e-09    	 c1 = 4    	 c2 = 0
	 i = 31    	 yi = 5.43656    	 xi = 1    	 h = 0.03125    	 yi(1/2) = 5.43656    	 yi - yi(1/2) = 4.48e-09    	 LEE = 4.77867e-09    	 c1 = 4    	 c2 = 0
	 i = 32    	 yi = 5.78716    	 xi = 1.03125    	 h = 0.03125    	 yi(1/2) = 5.78716    	 yi - yi(1/2) = 4.73603e-09    	 LEE = 5.05177e-09    	 c1 = 4    	 c2 = 0
